objectid,filename,title,creator,nian li time,date,description,subject,location,latitude,longitude,source,format original,format,type,identifier,马踏镇,"21.45°N, 110.95°E - 21.50°N, 111.00°E"
n101,objects/n101.jpg,2023年八月十五 马踏镇年例 刘仙三太  游神队伍中 湛江飘色,169524764,八月十五 the 15th day of the eighth lunar month,2023,八月十五马踏镇年例送炮活动 Song Pao; 游神 Deity Procession,湛江飘色 Zhanjiang Piaose,马踏镇 Mata Town,21.615412,111.339955,https://v.douyin.com/13ka9HWbZbI/ J@I.VL 05/30 Gvf:/ ,colourful,image/jpeg,Image;StillImage,n101,岭门镇,"21.40°N, 110.90°E - 21.45°N, 110.95°E"
n102,objects/n102.jpg,2023年八月十五 马踏镇年例 刘仙三太 游神队伍中  舞龙队,169524764,八月十五 the 15th day of the eighth lunar month,2023,八月十五马踏镇年例送炮活动 Song Pao; 游神 Deity Procession,舞龙队 Dragon Dance Group,马踏镇 Mata Town,21.615412,111.339955,https://v.douyin.com/13ka9HWbZbI/ J@I.VL 05/30 Gvf:/ ,colourful,image/jpeg,Image;StillImage,n102,树仔镇,"21.35°N, 110.85°E - 21.40°N, 110.90°E"
n103,objects/n103.jpg,2023年八月十五 马踏镇年例 刘仙三太 游神队伍中 鳌鱼舞方阵,169524764,八月十五 the 15th day of the eighth lunar month,2023,八月十五马踏镇年例送炮活动 Song Pao; 游神 Deity Procession,鳌鱼队 Aoyu Group,马踏镇 Mata Town,21.615412,111.339955,https://v.douyin.com/13ka9HWbZbI/ J@I.VL 05/30 Gvf:/ ,colourful,image/jpeg,Image;StillImage,n103,麻岗镇,"21.30°N, 110.80°E - 21.35°N, 110.85°E"
n104,objects/n104.jpg,2023年八月十五 马踏镇年例 邀请潮汕英歌舞,169524764,八月十五 the 15th day of the eighth lunar month,2023,八月十五马踏镇年例送炮活动 Song Pao; 游神 Deity Procession,潮汕英歌舞 Chaoshan Yingge Dance,马踏镇 Mata Town,21.615412,111.339955,https://v.douyin.com/13ka9HWbZbI/ J@I.VL 05/30 Gvf:/ ,colourful,image/jpeg,Image;StillImage,n104,旦场镇,"21.25°N, 110.75°E - 21.30°N, 110.80°E"
n105,objects/n105.jpg,2025年正月十四 马踏党村年例 接炮头,169524764,八月十五 the 15th day of the eighth lunar month,2025,走公 Zou gong; 走火把 Zou huoba; 舞公 Wu gong; 抢炮头 Qiang Paotou; 放烟花 Fireworks Display,走公 Zou gong,马踏镇 Mata Town; 党村 Dangcun,21.633336,111.338013,https://v.douyin.com/UgB-z4y7OpM/ 01/27 N@j.cA lpD:/ ,colourful,image/jpeg,Image;StillImage,n105,林头镇,"21.55°N, 110.85°E - 21.60°N, 110.90°E"
n106,objects/n106.jpg,2025年正月十四 马踏党村年例 走公,169524764,八月十五 the 15th day of the eighth lunar month,2025,走公 Zou gong; 走火把 Zou huoba; 舞公 Wu gong; 抢炮头 Qiang Paotou; 放烟花 Fireworks Display,走火把 Zou huoba,马踏镇 Mata Town; 党村 Dangcun,21.633336,111.338013,https://v.douyin.com/UgB-z4y7OpM/ 01/27 N@j.cA lpD:/ ,colourful,image/jpeg,Image;StillImage,n106,观珠镇,"21.50°N, 110.80°E - 21.55°N, 110.85°E"
n107,objects/n107.jpg,2025年正月十四 马踏党村年例 走火把,169524764,八月十五 the 15th day of the eighth lunar month,2025,走公 Zou gong; 走火把 Zou huoba; 舞公 Wu gong; 抢炮头 Qiang Paotou; 放烟花 Fireworks Display,抢炮头 Qiang Paotou,马踏镇 Mata Town; 党村 Dangcun,21.633336,111.338013,https://v.douyin.com/UgB-z4y7OpM/ 01/27 N@j.cA lpD:/ ,colourful,image/jpeg,Image;StillImage,n107,霞洞镇,"21.45°N, 110.75°E - 21.50°N, 110.80°E"
n201,objects/n201.jpg,2025年 岭门镇山后村正月十七年例  20多头专业舞狮队伍,581445025,正月十七 the 17th day of the first lunar month,2025,20多头专业舞狮队伍 Over 20 professional lion dance teams,舞狮 Lion Dance,岭门镇 Lingmen Town; 山后村 Shanhoucun,21.531272,111.429308,https://v.douyin.com/_FL43GhosAg/ VLw:/ N@w.Fh 08/17 ,colourful,image/jpeg,Image;StillImage,n201,黄岭镇,"21.40°N, 110.70°E - 21.45°N, 110.75°E"
n202,objects/n202.jpg,2025年 岭门镇山后村正月十七年例 盛大朝香队伍,581445025,正月十七 the 17th day of the first lunar month,2025,500多人的朝香队伍 A Chaoxiang team of over 500 people,朝香 Chaoxiang,岭门镇 Lingmen Town; 山后村 Shanhoucun,21.531272,111.429308,"https://v.douyin.com/tmOkrIZwNO4/ uFU:/ 12/10 Z@M.jC ",colourful,image/jpeg,Image;StillImage,n202,那霍镇,"21.35°N, 110.65°E - 21.40°N, 110.70°E"
n203,objects/n203.jpg,2025年 岭门镇山后村正月十七年例 游神队伍中的潮汕英歌舞107人,581445025,正月十七 the 17th day of the first lunar month,2025,"游神队伍中的107人潮汕英歌舞 107 members of the deity procession, Chaoshan Yingge Dance",潮汕英歌舞 Chaoshan Yingge Dance,岭门镇 Lingmen Town; 山后村 Shanhoucun,21.531272,111.429308,https://v.douyin.com/C-0HR7r-veE/ eOk:/ T@Y.zg 12/27 ,colourful,image/jpeg,Image;StillImage,n203,沙琅镇,"21.30°N, 110.60°E - 21.35°N, 110.65°E"
